MAL_ID,Name,Score
45653,Soredemo Ayumu wa Yosetekuru,7
,,
39456,Sounan desu ka?,6
,,
50265,Spy x Family,8
,,
21469,Stand By Me Doraemon,6
,,
40685,Super Cub,7
,,
50594,Suzume no Tojimari,9
,,
7311,Suzumiya Haruhi no Shoushitsu,6
,,
849,Suzumiya Haruhi no Yuuutsu,7
,,
4382,Suzumiya Haruhi no Yuuutsu (2009),5
,,
11757,Sword Art Online,6
,,
21881,Sword Art Online II,8
,,
31765,Sword Art Online Movie: Ordinal Scale,6
,,
36474,Sword Art Online: Alicization,5
,,
39597,Sword Art Online: Alicization - War of Underworld,5
,,
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,5
,,
21647,Tamako Love Story,7
,,
16417,Tamako Market,5
,,
32093,Tanaka-kun wa Itsumo Kedaruge,7
,,
46471,"Tantei wa Mou, Shindeiru.",8
,,
54275,Temple,0
,,
53393,Tengoku Daimakyou,0
,,
38826,Tenki no Ko,8
,,
37430,Tensei shitara Slime Datta Ken,8
,,
39551,Tensei shitara Slime Datta Ken 2nd Season,7
,,
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,8
,,
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,7
,,
38793,Tensei shitara Slime Datta Ken OVA,7
,,
41488,Tensura Nikki: Tensei shitara Slime Datta Ken,7
,,
3455,To LOVE-Ru,6
,,
13663,To LOVE-Ru Darkness,7
,,
28979,To LOVE-Ru Darkness 2nd,7
,,
13851,To LOVE-Ru Darkness OVA,6
,,
5667,To LOVE-Ru OVA,6
,,
35000,To LOVE-Ru: Multiplication - Mae kara Ushiro kara,5
,,
16049,Toaru Kagaku no Railgun S,6
,,
4654,Toaru Majutsu no Index,5
,,
2236,Toki wo Kakeru Shoujo,6
,,
52305,Tomo-chan wa Onnanoko!,7
,,
18139,Tonari no Seki-kun,4
,,
523,Tonari no Totoro,5
,,
41389,Tonikaku Kawaii,7
,,
44931,Tonikaku Kawaii: SNS,7
,,
4224,Toradora!,7
,,
28025,Tsukimonogatari,7
,,
34902,Tsurezure Children,7
,,
38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,0
,,
37920,Ueno-san wa Bukiyou,3
,,
41226,Uzaki-chan wa Asobitai!,6
,,
33352,Violet Evergarden,7
,,
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,7
,,
37987,Violet Evergarden Movie,7
,,
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",5
,,
37993,Watashi ni Tenshi ga Maiorita!,7
,,
44141,Watashi ni Tenshi ga Maiorita! Precious Friends,7
,,
43299,Wonder Egg Priority,8
,,
48614,Wonder Egg Priority: Watashi no Priority,3
,,
35968,Wotaku ni Koi wa Muzukashii,7
,,
38349,Wotaku ni Koi wa Muzukashii OVA,7
,,
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,4
,,
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,3
,,
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,3
,,
48491,Yama no Susume: Next Summit,0
,,
28677,Yamada-kun to 7-nin no Majo,7
,,
30641,Yankee-kun na Yamada-kun to Megane-chan to Majo,7
,,
32615,Youjo Senki,8
,,
37055,Youjo Senki Movie,7
,,
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8
,,
550,Yu☆Gi☆Oh!,6
,,
481,Yu☆Gi☆Oh! Duel Monsters,5
,,
34798,Yuru Camp△,7
,,
38475,Yuru Camp△ Movie,7
,,
38474,Yuru Camp△ Season 2,6
,,
49026,Yuru Camp△ Season 2 Specials,5
,,
37341,Yuru Camp△ Specials,5
,,
18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,0
,,
36999,Zoku Owarimonogatari,5
